"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/08/2024","10.325","10.325","10.325","10.200","158,40M","0,98%"
"29/08/2024","10.225","10.500","10.500","10.225","53,00M","-1,21%"
"28/08/2024","10.350","10.300","10.350","10.250","38,49M","1,47%"
"27/08/2024","10.200","10.275","10.300","10.175","60,45M","-1,21%"
"26/08/2024","10.325","10.275","10.375","10.250","35,15M","0,00%"
"23/08/2024","10.325","10.325","10.375","10.300","46,65M","0,00%"
"22/08/2024","10.325","10.350","10.400","10.225","56,61M","-0,96%"
"21/08/2024","10.425","10.500","10.500","10.425","84,85M","0,00%"
"20/08/2024","10.425","10.325","10.450","10.300","60,30M","0,48%"
"19/08/2024","10.375","10.325","10.425","10.275","51,05M","0,48%"
"16/08/2024","10.325","10.300","10.325","10.250","40,73M","0,98%"
"15/08/2024","10.225","10.200","10.300","10.175","33,40M","0,25%"
"14/08/2024","10.200","10.300","10.300","10.200","48,00M","-0,97%"
"13/08/2024","10.300","10.250","10.300","10.175","55,21M","0,98%"
"12/08/2024","10.200","10.100","10.200","10.075","40,36M","0,49%"
"09/08/2024","10.150","10.225","10.250","10.100","47,06M","-0,73%"
"08/08/2024","10.225","10.150","10.225","10.075","54,16M","1,24%"
"07/08/2024","10.100","10.000","10.100","10.000","52,35M","1,00%"
"06/08/2024","10.000","10.075","10.075","9.950","78,47M","1,27%"
"05/08/2024","9.875","10.000","10.150","9.875","126,33M","-3,19%"
"02/08/2024","10.200","10.275","10.350","10.200","55,77M","-1,69%"
"01/08/2024","10.375","10.200","10.375","10.200","61,18M","0,97%"
"31/07/2024","10.275","10.350","10.350","10.225","82,52M","0,98%"
"30/07/2024","10.175","10.300","10.300","10.175","32,20M","-0,73%"
"29/07/2024","10.250","10.400","10.425","10.175","69,09M","-0,73%"
"26/07/2024","10.325","10.375","10.400","10.300","75,57M","0,24%"
"25/07/2024","10.300","10.225","10.300","10.200","98,09M","2,23%"
"24/07/2024","10.075","10.125","10.175","10.075","24,66M","-0,98%"
"23/07/2024","10.175","10.200","10.200","10.125","39,32M","0,74%"
"22/07/2024","10.100","10.125","10.150","10.100","31,29M","-0,25%"
"19/07/2024","10.125","10.050","10.125","9.975","53,88M","0,25%"
"18/07/2024","10.100","9.800","10.100","9.800","65,38M","3,06%"
"17/07/2024","9.800","9.900","9.950","9.800","90,67M","-1,51%"
"16/07/2024","9.950","9.975","10.025","9.950","37,19M","-1,00%"
"15/07/2024","10.050","10.050","10.075","9.950","36,68M","-0,25%"
"12/07/2024","10.075","10.050","10.100","10.025","79,03M","0,00%"
"11/07/2024","10.075","10.000","10.125","10.000","55,91M","-0,25%"
"10/07/2024","10.100","10.175","10.225","10.050","62,33M","0,25%"
"09/07/2024","10.075","10.100","10.150","10.075","61,85M","0,25%"
"08/07/2024","10.050","10.000","10.050","9.950","72,90M","1,01%"
"05/07/2024","9.950","9.925","9.975","9.875","36,95M","1,27%"
"04/07/2024","9.825","9.975","10.000","9.825","67,05M","-1,75%"
"03/07/2024","10.000","9.975","10.000","9.925","55,86M","1,01%"
"02/07/2024","9.900","10.000","10.000","9.850","78,85M","0,25%"
"01/07/2024","9.875","9.850","9.900","9.825","68,63M","-0,50%"
"28/06/2024","9.925","9.800","9.975","9.775","166,17M","1,79%"
"27/06/2024","9.750","9.575","9.750","9.550","89,15M","2,63%"
"26/06/2024","9.500","9.525","9.650","9.450","77,91M","-1,04%"
"25/06/2024","9.600","9.600","9.600","9.450","80,03M","0,00%"
"24/06/2024","9.600","9.600","9.750","9.575","79,59M","0,00%"
"21/06/2024","9.600","9.475","9.675","9.400","167,76M","1,86%"
"20/06/2024","9.425","9.150","9.425","9.100","81,47M","4,14%"
"19/06/2024","9.050","9.250","9.250","9.050","100,05M","-1,63%"
"14/06/2024","9.200","9.200","9.250","9.100","52,99M","0,00%"
"13/06/2024","9.200","9.475","9.475","9.200","84,65M","-0,54%"
"12/06/2024","9.250","9.300","9.325","9.250","49,79M","-0,54%"
"11/06/2024","9.300","9.550","9.550","9.300","68,69M","-2,36%"
"10/06/2024","9.525","9.500","9.525","9.450","45,58M","2,14%"
"07/06/2024","9.325","9.500","9.500","9.325","51,60M","-1,58%"
"06/06/2024","9.475","9.525","9.525","9.450","44,99M","0,26%"
"05/06/2024","9.450","9.500","9.500","9.300","85,71M","1,07%"
"04/06/2024","9.350","9.525","9.525","9.350","75,35M","0,81%"
"03/06/2024","9.275","9.350","9.350","9.225","72,20M","0,27%"
"31/05/2024","9.250","9.100","9.250","9.025","756,43M","2,78%"
"30/05/2024","9.000","9.000","9.250","8.775","207,12M","-1,64%"
"29/05/2024","9.150","9.275","9.325","9.150","117,35M","-1,61%"
"28/05/2024","9.300","9.300","9.400","9.300","73,95M","0,00%"
"27/05/2024","9.300","9.300","9.375","9.275","128,58M","-1,33%"
"22/05/2024","9.425","9.475","9.575","9.325","121,71M","0,53%"
"21/05/2024","9.375","9.450","9.575","9.375","75,71M","-1,06%"
"20/05/2024","9.475","9.700","9.800","9.475","87,89M","-2,82%"
"17/05/2024","9.750","9.600","9.850","9.575","99,85M","1,56%"
"16/05/2024","9.600","9.575","9.675","9.525","61,13M","1,05%"
"15/05/2024","9.500","9.500","9.600","9.425","54,74M","-0,52%"
"14/05/2024","9.550","9.625","9.675","9.525","95,36M","0,26%"
"13/05/2024","9.525","9.200","9.525","9.200","145,47M","1,60%"
"08/05/2024","9.375","9.600","9.700","9.375","112,81M","-3,35%"
"07/05/2024","9.700","9.700","9.750","9.625","66,75M","-1,02%"
"06/05/2024","9.800","9.850","9.875","9.775","53,08M","-0,51%"
"03/05/2024","9.850","9.750","9.850","9.675","84,03M","3,14%"
"02/05/2024","9.550","9.900","9.900","9.500","97,08M","-2,55%"
"30/04/2024","9.800","10.050","10.050","9.800","109,62M","0,00%"
"29/04/2024","9.800","9.525","9.850","9.525","90,06M","1,82%"
"26/04/2024","9.625","9.700","9.825","9.625","100,93M","-1,53%"
"25/04/2024","9.775","10.000","10.000","9.700","104,87M","-1,76%"
"24/04/2024","9.950","9.825","9.950","9.750","132,83M","2,31%"
"23/04/2024","9.725","9.400","9.775","9.375","181,70M","4,01%"
"22/04/2024","9.350","9.400","9.425","9.350","128,91M","-1,32%"
"19/04/2024","9.475","9.350","9.500","9.300","147,78M","0,00%"
"18/04/2024","9.475","9.525","9.575","9.450","127,13M","-0,52%"
"17/04/2024","9.525","9.550","9.675","9.525","95,62M","0,53%"
"16/04/2024","9.475","9.350","9.575","9.250","283,27M","-3,56%"
"05/04/2024","9.825","9.950","9.950","9.825","70,43M","-0,25%"
"04/04/2024","9.850","9.575","9.850","9.575","77,27M","3,41%"
"03/04/2024","9.525","9.750","9.800","9.525","177,42M","-3,79%"
"02/04/2024","9.900","9.925","9.950","9.800","76,76M","0,51%"
"01/04/2024","9.850","10.075","10.100","9.825","79,25M","-2,23%"